instant,dteday,season,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
137,2011-05-17,spring,no,tuesday,yes,cloudy,0.561667,0.538529,0.837917,0.277354,678.0,3445,4123
138,2011-05-18,spring,no,wednesday,yes,cloudy,0.55,0.527158,0.87,0.201492,536.0,3319,3855
139,2011-05-19,spring,no,thursday,yes,cloudy,0.530833,0.510742,0.829583,0.108213,735.0,3840,4575
140,2011-05-20,spring,no,friday,yes,clear,0.536667,0.529042,0.719583,0.125013,909.0,4008,4917
141,2011-05-21,spring,no,saturday,no,clear,0.6025,0.571975,0.626667,0.12065,2258.0,3547,5805
142,2011-05-22,spring,no,sunday,no,clear,0.604167,0.5745,0.749583,0.148008,1576.0,3084,4660
143,2011-05-23,spring,no,monday,yes,cloudy,0.631667,0.590296,0.81,0.233842,836.0,3438,4274
144,2011-05-24,spring,no,tuesday,yes,cloudy,0.66,0.604813,0.740833,0.207092,659.0,3833,4492
145,2011-05-25,spring,no,wednesday,yes,clear,0.660833,0.615542,0.69625,0.154233,740.0,4238,4978
146,2011-05-26,spring,no,thursday,yes,clear,0.708333,0.654688,0.6775,0.199642,758.0,3919,4677
147,2011-05-27,spring,no,friday,yes,clear,0.681667,0.637008,0.65375,0.240679,871.0,3808,4679
148,2011-05-28,spring,no,saturday,no,clear,0.655833,0.612379,0.729583,0.230092,2001.0,2757,4758
149,2011-05-29,spring,no,sunday,no,clear,0.6675,0.61555,0.81875,0.213938,2266.75,2433,4788
150,2011-05-30,spring,yes,monday,no,clear,0.733333,0.671092,0.685,0.131225,1549.0,2549,4098
151,2011-05-31,spring,no,tuesday,yes,clear,0.775,0.725383,0.636667,0.111329,673.0,3309,3982
152,2011-06-01,spring,no,wednesday,yes,cloudy,0.764167,0.720967,0.677083,0.207092,513.0,3461,3974
153,2011-06-02,spring,no,thursday,yes,clear,0.715,0.643942,0.305,0.292287,736.0,4232,4968
154,2011-06-03,spring,no,friday,yes,clear,0.62,0.587133,0.354167,0.253121,898.0,4414,5312
155,2011-06-04,spring,no,saturday,no,clear,0.635,0.594696,0.45625,0.123142,1869.0,3473,5342
156,2011-06-05,spring,no,sunday,no,cloudy,0.648333,0.616804,0.6525,0.138692,1685.0,3221,4906
157,2011-06-06,spring,no,monday,yes,clear,0.678333,0.621858,0.6,0.121896,673.0,3875,4548
158,2011-06-07,spring,no,tuesday,yes,clear,0.7075,0.65595,0.597917,0.187808,763.0,4070,4833
159,2011-06-08,spring,no,wednesday,yes,clear,0.775833,0.727279,0.622083,0.136817,676.0,3725,4401
160,2011-06-09,spring,no,thursday,yes,cloudy,0.808333,0.757579,0.568333,0.149883,563.0,3352,3915
161,2011-06-10,spring,no,friday,yes,clear,0.755,0.703292,0.605,0.140554,815.0,3771,4586
162,2011-06-11,spring,no,saturday,no,clear,0.725,0.678038,0.654583,0.15485,1729.0,3237,4966
163,2011-06-12,spring,no,sunday,no,clear,0.6925,0.643325,0.747917,0.163567,1467.0,2993,4460
164,2011-06-13,spring,no,monday,yes,clear,0.635,0.601654,0.494583,0.30535,863.0,4157,5020
165,2011-06-14,spring,no,tuesday,yes,clear,0.604167,0.591546,0.507083,0.269283,727.0,4164,4891
166,2011-06-15,spring,no,wednesday,yes,clear,0.626667,0.587754,0.471667,0.167912,769.0,4411,5180
167,2011-06-16,spring,no,thursday,yes,cloudy,0.628333,0.595346,0.688333,0.206471,545.0,3222,3767
168,2011-06-17,spring,no,friday,yes,clear,0.649167,0.600383,0.735833,0.143029,863.0,3981,4844
169,2011-06-18,spring,no,saturday,no,clear,0.696667,0.643954,0.670417,0.119408,1807.0,3312,5119
170,2011-06-19,spring,no,sunday,no,cloudy,0.699167,0.645846,0.666667,0.102,1639.0,3105,4744
171,2011-06-20,spring,no,monday,yes,cloudy,0.635,0.595346,0.74625,0.155475,699.0,3311,4010
172,2011-06-21,summer,no,tuesday,yes,cloudy,0.680833,0.637646,0.770417,0.171025,774.0,4061,4835
173,2011-06-22,summer,no,wednesday,yes,clear,0.733333,0.693829,0.7075,0.172262,661.0,3846,4507
174,2011-06-23,summer,no,thursday,yes,cloudy,0.728333,0.693833,0.703333,0.238804,746.0,4044,4790
175,2011-06-24,summer,no,friday,yes,clear,0.724167,0.656583,0.573333,0.222025,969.0,4022,4991
176,2011-06-25,summer,no,saturday,no,clear,0.695,0.643313,0.483333,0.209571,1782.0,3420,5202
177,2011-06-26,summer,no,sunday,no,clear,0.68,0.637629,0.513333,0.0945333,1920.0,3385,5305
178,2011-06-27,summer,no,monday,yes,cloudy,0.6825,0.637004,0.658333,0.107588,854.0,3854,4708
179,2011-06-28,summer,no,tuesday,yes,clear,0.744167,0.692558,0.634167,0.144283,732.0,3916,4648
180,2011-06-29,summer,no,wednesday,yes,clear,0.728333,0.654688,0.497917,0.261821,848.0,4377,5225
181,2011-06-30,summer,no,thursday,yes,clear,0.696667,0.637008,0.434167,0.185312,1027.0,4488,5515
182,2011-07-01,summer,no,friday,yes,clear,0.7225,0.652162,0.39625,0.102608,1246.0,4116,5362
183,2011-07-02,summer,no,saturday,no,clear,0.738333,0.667308,0.444583,0.115062,2204.0,2915,5119
184,2011-07-03,summer,no,sunday,no,cloudy,0.716667,0.668575,0.6825,0.228858,2266.75,2367,4649
185,2011-07-04,summer,yes,monday,no,cloudy,0.726667,0.665417,0.637917,0.0814792,2266.75,2978,6043
186,2011-07-05,summer,no,tuesday,yes,clear,0.746667,0.696338,0.590417,0.126258,1031.0,3634,4665
187,2011-07-06,summer,no,wednesday,yes,clear,0.72,0.685633,0.743333,0.149883,784.0,3845,4629
188,2011-07-07,summer,no,thursday,yes,clear,0.75,0.686871,0.65125,0.1592,754.0,3838,4592
189,2011-07-08,summer,no,friday,yes,cloudy,0.709167,0.670483,0.757917,0.225129,692.0,3348,4040
190,2011-07-09,summer,no,saturday,no,clear,0.733333,0.664158,0.609167,0.167912,1988.0,3348,5336
191,2011-07-10,summer,no,sunday,no,clear,0.7475,0.690025,0.578333,0.183471,1743.0,3138,4881
192,2011-07-11,summer,no,monday,yes,clear,0.7625,0.729804,0.635833,0.282337,723.0,3363,4086
193,2011-07-12,summer,no,tuesday,yes,clear,0.794167,0.739275,0.559167,0.200254,662.0,3596,4258
194,2011-07-13,summer,no,wednesday,yes,clear,0.746667,0.689404,0.631667,0.146133,748.0,3594,4342
195,2011-07-14,summer,no,thursday,yes,clear,0.680833,0.635104,0.47625,0.240667,888.0,4196,5084
196,2011-07-15,summer,no,friday,yes,clear,0.663333,0.624371,0.59125,0.182833,1318.0,4220,5538
197,2011-07-16,summer,no,saturday,no,clear,0.686667,0.638263,0.585,0.208342,2266.75,3505,5923
198,2011-07-17,summer,no,sunday,no,clear,0.719167,0.669833,0.604167,0.245033,2006.0,3296,5302
199,2011-07-18,summer,no,monday,yes,clear,0.746667,0.703925,0.65125,0.215804,841.0,3617,4458
200,2011-07-19,summer,no,tuesday,yes,clear,0.776667,0.747479,0.650417,0.1306,752.0,3789,4541
201,2011-07-20,summer,no,wednesday,yes,clear,0.768333,0.74685,0.707083,0.113817,644.0,3688,4332
202,2011-07-21,summer,no,thursday,yes,cloudy,0.815,0.826371,0.69125,0.222021,632.0,3152,3784
203,2011-07-22,summer,no,friday,yes,clear,0.848333,0.840896,0.580417,0.1331,562.0,2825,3387
204,2011-07-23,summer,no,saturday,no,clear,0.849167,0.804287,0.5,0.131221,987.0,2298,3285
205,2011-07-24,summer,no,sunday,no,clear,0.83,0.794829,0.550833,0.169171,1050.0,2556,3606
206,2011-07-25,summer,no,monday,yes,clear,0.743333,0.720958,0.757083,0.0908083,568.0,3272,3840
207,2011-07-26,summer,no,tuesday,yes,clear,0.771667,0.696979,0.540833,0.200258,750.0,3840,4590
208,2011-07-27,summer,no,wednesday,yes,clear,0.775,0.690667,0.402917,0.183463,755.0,3901,4656
209,2011-07-28,summer,no,thursday,yes,clear,0.779167,0.7399,0.583333,0.178479,606.0,3784,4390
210,2011-07-29,summer,no,friday,yes,clear,0.838333,0.785967,0.5425,0.174138,670.0,3176,3846
211,2011-07-30,summer,no,saturday,no,clear,0.804167,0.728537,0.465833,0.168537,1559.0,2916,4475
212,2011-07-31,summer,no,sunday,no,clear,0.805833,0.729796,0.480833,0.164813,1524.0,2778,4302
213,2011-08-01,summer,no,monday,yes,clear,0.771667,0.703292,0.550833,0.156717,729.0,3537,4266
214,2011-08-02,summer,no,tuesday,yes,clear,0.783333,0.707071,0.49125,0.20585,801.0,4044,4845
215,2011-08-03,summer,no,wednesday,yes,cloudy,0.731667,0.679937,0.6575,0.135583,467.0,3107,3574
216,2011-08-04,summer,no,thursday,yes,cloudy,0.71,0.664788,0.7575,0.19715,799.0,3777,4576
217,2011-08-05,summer,no,friday,yes,clear,0.710833,0.656567,0.630833,0.184696,1023.0,3843,4866
218,2011-08-06,summer,no,saturday,no,cloudy,0.716667,0.676154,0.755,0.22825,1521.0,2773,4294
219,2011-08-07,summer,no,sunday,no,clear,0.7425,0.715292,0.752917,0.201487,1298.0,2487,3785
220,2011-08-08,summer,no,monday,yes,clear,0.765,0.703283,0.592083,0.192175,846.0,3480,4326
221,2011-08-09,summer,no,tuesday,yes,clear,0.775,0.724121,0.570417,0.151121,907.0,3695,4602
222,2011-08-10,summer,no,wednesday,yes,clear,0.766667,0.684983,0.424167,0.200258,884.0,3896,4780
223,2011-08-11,summer,no,thursday,yes,clear,0.7175,0.651521,0.42375,0.164796,812.0,3980,4792
224,2011-08-12,summer,no,friday,yes,clear,0.708333,0.654042,0.415,0.125621,1051.0,3854,4905
225,2011-08-13,summer,no,saturday,no,cloudy,0.685833,0.645858,0.729583,0.211454,1504.0,2646,4150
226,2011-08-14,summer,no,sunday,no,cloudy,0.676667,0.624388,0.8175,0.222633,1338.0,2482,3820
227,2011-08-15,summer,no,monday,yes,clear,0.665833,0.616167,0.712083,0.208954,775.0,3563,4338
228,2011-08-16,summer,no,tuesday,yes,clear,0.700833,0.645837,0.578333,0.236329,721.0,4004,4725
229,2011-08-17,summer,no,wednesday,yes,clear,0.723333,0.666671,0.575417,0.143667,668.0,4026,4694
230,2011-08-18,summer,no,thursday,yes,clear,0.711667,0.662258,0.654583,0.233208,639.0,3166,3805
231,2011-08-19,summer,no,friday,yes,cloudy,0.685,0.633221,0.722917,0.139308,797.0,3356,4153
232,2011-08-20,summer,no,saturday,no,clear,0.6975,0.648996,0.674167,0.104467,1914.0,3277,5191
233,2011-08-21,summer,no,sunday,no,clear,0.710833,0.675525,0.77,0.248754,1249.0,2624,3873
234,2011-08-22,summer,no,monday,yes,clear,0.691667,0.638254,0.47,0.27675,833.0,3925,4758
235,2011-08-23,summer,no,tuesday,yes,clear,0.640833,0.606067,0.455417,0.146763,1281.0,4614,5895
236,2011-08-24,summer,no,wednesday,yes,clear,0.673333,0.630692,0.605,0.253108,949.0,4181,5130
237,2011-08-25,summer,no,thursday,yes,cloudy,0.684167,0.645854,0.771667,0.210833,435.0,3107,3542
238,2011-08-26,summer,no,friday,yes,clear,0.7,0.659733,0.76125,0.0839625,768.0,3893,4661
239,2011-08-27,summer,no,saturday,no,cloudy,0.68,0.635556,0.85,0.375617,226.0,889,1115
240,2011-08-28,summer,no,sunday,no,clear,0.707059,0.647959,0.561765,0.304659,1415.0,2919,4334
241,2011-08-29,summer,no,monday,yes,clear,0.636667,0.607958,0.554583,0.159825,729.0,3905,4634
242,2011-08-30,summer,no,tuesday,yes,clear,0.639167,0.594704,0.548333,0.125008,775.0,4429,5204
243,2011-08-31,summer,no,wednesday,yes,clear,0.656667,0.611121,0.597917,0.0833333,688.0,4370,5058
244,2011-09-01,summer,no,thursday,yes,clear,0.655,0.614921,0.639167,0.141796,783.0,4332,5115
245,2011-09-02,summer,no,friday,yes,cloudy,0.643333,0.604808,0.727083,0.139929,875.0,3852,4727
246,2011-09-03,summer,no,saturday,no,clear,0.669167,0.633213,0.716667,0.185325,1935.0,2549,4484
247,2011-09-04,summer,no,sunday,no,clear,0.709167,0.665429,0.742083,0.206467,2266.75,2419,4940
248,2011-09-05,summer,yes,monday,no,cloudy,0.673333,0.625646,0.790417,0.212696,1236.0,2115,3351
249,2011-09-06,summer,no,tuesday,yes,rain,0.54,0.5152,0.886957,0.343943,204.0,2506,2710
250,2011-09-07,summer,no,wednesday,yes,rain,0.599167,0.544229,0.917083,0.0970208,118.0,1878,1996
251,2011-09-08,summer,no,thursday,yes,rain,0.633913,0.555361,0.939565,0.192748,153.0,1689,1842
252,2011-09-09,summer,no,friday,yes,cloudy,0.65,0.578946,0.897917,0.124379,417.0,3127,3544
253,2011-09-10,summer,no,saturday,no,clear,0.66,0.607962,0.75375,0.153608,1750.0,3595,5345
254,2011-09-11,summer,no,sunday,no,clear,0.653333,0.609229,0.71375,0.115054,1633.0,3413,5046
255,2011-09-12,summer,no,monday,yes,clear,0.644348,0.60213,0.692174,0.088913,690.0,4023,4713
256,2011-09-13,summer,no,tuesday,yes,clear,0.650833,0.603554,0.7125,0.141804,701.0,4062,4763
